iter	TotalF1	MultiClass
0	0.4210675088	2.14289287
1	0.4562185646	2.09012544
2	0.5770114372	2.029969709
3	0.6095132461	1.974731257
4	0.6564734647	1.927160691
5	0.6756786944	1.888609007
6	0.6699562985	1.856770196
7	0.6891227804	1.818323365
8	0.6938113179	1.778375044
9	0.7175471706	1.742989173
10	0.7208654946	1.709779375
11	0.7190985107	1.682258561
12	0.7176247427	1.652273418
13	0.7314522937	1.616215072
14	0.7269658066	1.58832547
15	0.7324725083	1.561890262
16	0.7347220038	1.543709952
17	0.7401315744	1.517208227
18	0.7439311018	1.491818799
19	0.7444964854	1.471548366
20	0.7398318771	1.445217541
21	0.7397498193	1.429101517
22	0.749891302	1.410101533
23	0.7465064341	1.393453103
24	0.7576518808	1.374224544
25	0.7460183897	1.357218609
26	0.7550071803	1.337152056
27	0.7540349814	1.320039049
28	0.7592477189	1.307918411
29	0.7638858541	1.289363821
30	0.7679213594	1.270657212
31	0.7725089415	1.25490217
32	0.7681771692	1.243490711
33	0.7663765676	1.228790336
34	0.7691133333	1.214560562
35	0.7694282221	1.201339449
36	0.7684213864	1.190557558
37	0.7750317473	1.178159256
38	0.778355508	1.162037349
39	0.7833759188	1.147790987
40	0.7822952169	1.137349071
41	0.781645041	1.123505091
42	0.7849970771	1.111090433
43	0.7884123978	1.099177048
44	0.786714265	1.087813546
45	0.7929981575	1.077562902
46	0.7919276526	1.06952212
47	0.7904106191	1.062113403
48	0.7942828499	1.052856302
49	0.7971743207	1.043907894
50	0.7993564155	1.034261486
51	0.8021795788	1.023841244
52	0.8018272104	1.01694917
53	0.803050678	1.010310224
54	0.8070711638	0.9977391212
55	0.8052138767	0.9899011479
56	0.8107946947	0.9814518327
57	0.8122850055	0.9734922888
58	0.8136477858	0.9644510474
59	0.8134674368	0.9589851845
60	0.8149940408	0.9516797245
61	0.8151848798	0.9437601942
62	0.8131647447	0.9360660547
63	0.8126569526	0.9305536634
64	0.8123406967	0.9215170411
65	0.8150080765	0.9138870532
66	0.8186023068	0.9059686985
67	0.8172476195	0.8997701457
68	0.8209392432	0.8926871911
69	0.8199199527	0.8853727322
70	0.8209186586	0.880146806
71	0.8237996868	0.8742806922
72	0.8251819206	0.8689513757
73	0.8270832685	0.8626489895
74	0.8290312396	0.8564929897
75	0.8305813797	0.8499474142
76	0.8300898569	0.844405254
77	0.8370216454	0.840208209
78	0.8402076447	0.8326293887
79	0.8388654229	0.827101003
80	0.8393345252	0.8181809287
81	0.8405274551	0.8121298005
82	0.8422929876	0.8068873972
83	0.844486799	0.8021156758
84	0.8457791251	0.7953453007
85	0.8469577272	0.7911828645
86	0.8478160503	0.7853499539
87	0.8482369928	0.7815829973
88	0.8470250875	0.7767207111
89	0.8458783805	0.7727064386
90	0.8484201911	0.767502888
91	0.8506793057	0.7604246745
92	0.8505843969	0.754865811
93	0.8507857193	0.7513146034
94	0.8509918871	0.7458958097
95	0.8512189791	0.7408609271
