iter	Passed	Remaining
0	15	15712
1	23	11959
2	33	11194
3	43	10939
4	53	10691
5	62	10317
6	70	9965
7	79	9813
8	89	9814
9	97	9627
10	107	9706
11	117	9703
12	125	9551
13	134	9440
14	143	9408
15	151	9305
16	161	9350
17	170	9290
18	178	9234
19	187	9179
20	197	9187
21	207	9218
22	216	9217
23	228	9301
24	238	9301
25	249	9339
26	258	9321
27	269	9365
28	278	9322
29	289	9349
30	301	9414
31	310	9400
32	321	9429
33	331	9424
34	340	9381
35	350	9386
36	363	9460
37	372	9430
38	381	9411
39	393	9434
40	404	9461
41	413	9431
42	421	9380
43	431	9368
44	441	9363
45	450	9352
46	460	9346
47	470	9335
48	480	9334
49	490	9328
50	500	9313
51	509	9296
52	519	9286
53	528	9266
54	540	9286
55	549	9264
56	559	9256
57	569	9245
58	577	9213
59	587	9207
60	596	9178
61	604	9147
62	613	9122
63	621	9087
64	630	9067
65	639	9044
66	647	9018
67	656	8994
68	664	8968
69	673	8945
70	683	8945
71	694	8945
72	703	8932
73	713	8922
74	722	8913
75	732	8901
76	741	8893
77	751	8879
78	760	8861
79	768	8841
80	777	8818
81	786	8810
82	796	8797
83	806	8789
84	814	8768
85	824	8761
86	833	8743
87	842	8736
88	852	8725
89	861	8707
90	871	8700
91	880	8689
92	890	8683
93	898	8663
94	908	8650
95	918	8647
